;Date;Type;Country;Injury
0;25-Jun-2018;Boating;USA;No injury to occupant, outrigger canoe and paddle damaged
1;18-Jun-2018;Unprovoked;USA;Minor injury to left thigh
2;09-Jun-2018;Invalid;USA;Injury to left lower leg from surfboard skeg
3;08-Jun-2018;Unprovoked;AUSTRALIA;Minor injury to lower leg
4;04-Jun-2018;Provoked;MEXICO;Lacerations to leg & hand shark PROVOKED INCIDENT
5;03-Jun-2018;Unprovoked;AUSTRALIA;No injury, board bitten
6;03-Jun-2018;Unprovoked;BRAZIL;FATAL
7;27-May-2018;Unprovoked;USA;Minor injury to foot. PROVOKED INCIDENT
8;26-May-2018;Unprovoked;USA;Lower left leg bitten
9;26-May-2018;Unprovoked;USA;Minor injury to foot
10;24-May-2018;Provoked;AUSTRALIA;Minor bite to hand by captive shark. PROVOKED INCIDENT
11;21-May-2018;Unprovoked;USA;Injuries to lower right leg and foot
12;13-May-2018;Unprovoked;USA;Severe bite to right forearm
13;13-May-2018;Invalid;ENGLAND;Injured by teeth of a dead porbeagle shark he was tossing overboard.
14;May 2018;Provoked;AUSTRALIA;Shallow lacerations to finger PROVOKED INCIDENT
15;12-May-2018;Unprovoked;SOUTH AFRICA;Minor injury, marks on board
16;09-May-2018;Questionable;AUSTRALIA;No injury, surfboard damaged
17;Reported 30-Apr-2018;Unprovoked;THAILAND;Minor injury to ankle
18;28-Apr-2018;Unprovoked;COSTA RICA;No injury, shark bit scuba gear
19;28-Apr-2018;Unprovoked;AUSTRALIA;No injury, knocked off board by shark
20;25-Apr-2018;Questionable;AUSTRALIA;No injury
21;25-Apr-2018;Unprovoked;AUSTRALIA;No injury, knocked off board by shark
22;24-Apr-2018;Unprovoked;AUSTRALIA;No injury, shark struck his leg
23;23-Apr-2018;Unprovoked;MALDIVES;5-inch cut to hand
24;22-Apr-2018;Unprovoked;SOUTH AFRICA;No injury, shark bit hole in ski
25;19-Apr-2018;Unprovoked;USA;Lacerations to right lower leg
26;15-Apr-2018;Unprovoked;THAILAND;Lacerations to foot and ankle
27;15-Apr-2018;Unprovoked;BRAZIL;Multiple severe injuries to arms and leg, leg subsequently surgically amputated
28;15-Apr-2018;Unprovoked;AUSTRALIA;Laceration to right thigh
29;15-Apr-2018;Unprovoked;AUSTRALIA;Lacerations to legs
30;14-Apr-2018;Unprovoked;BAHAMAS;No Injury. Shark swam away with the surf board
31;Reported 10-Apr-2018;Invalid;BRAZIL;Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. 
32;09-Apr-2018;Unprovoked;NEW CALEDONIA;No injury, shark bit board
33;05-Apr-2018;Unprovoked;BAHAMAS;2 puncture wounds to left foot, abrasion to right foot
34;03-Apr-2018;Unprovoked;SOUTH AFRICA;Lacerations to left knee & lower leg
35;31-Mar-2018;Unprovoked;USA;Injuries to right leg & hand
36;14-Mar-2018;Unprovoked;AUSTRALIA;Minor injuries to legs
37;9-Mar-2018;Unprovoked;AUSTRALIA;No injury, said to have been charged by sharks several times
38;9-Mar-2018;Unprovoked;AUSTRALIA;Minor injury, ankle grazed
39;24-Feb-2018;Unprovoked;SOUTH AFRICA;" The shark & man simply collided; neither were injured"
40;23-Feb-2018;Unprovoked;AUSTRALIA;Laceratons to right leg & foot
41;18-Feb-2018;Provoked;AUSTRALIA;Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT
42;15-Feb-2018;Unprovoked;AUSTRALIA;Puncture wounds to leff foot & lower leg
43;14-Feb-2018;Invalid;AUSTRALIA;Collision / No injury, no attack
44;11-Feb-2018;Invalid;BRAZIL;Lacerations to 4 toes of right foot
45;03-Feb-2018;Unprovoked;ECUADOR;Injuries to right foot
46;01-Feb-2018;Invalid;AUSTRALIA;"No injury no attack. This is considerd an ""encounter"""
47;28-Jan-2018;Unprovoked;AUSTRALIA;Injuries to right leg
48;21-Jan-2018;Unprovoked;NEW CALEDONIA;Injuries to abdomen and arm
49;14-Jan-2018;Unprovoked;AUSTRALIA;Severe laceration to left forearm
50;13-Jan-2018;Unprovoked;AUSTRALIA;No injury, shark took his swimfin
51;12-Jan-2018;Unprovoked;BRAZIL;Minor injury to left forearm
52;05-Jan-2018;Unprovoked;AUSTRALIA;Foot bitten
53;31-Dec-2017;Unprovoked;USA;Severe lacerations to left thigh & knee
54;30-Dec-2017;Unprovoked;USA;Foot bitten
55;21-Dec-2017;Provoked;MALAYSIA;Minor injury to thigh, PROVOKED INCIDENT
56;09-Dec-2017;Unprovoked;BAHAMAS;Minor injury to arm
57;30-Nov-2017;Unprovoked;COSTA RICA;Serious injury to leg
58;30-Nov-2017;Unprovoked;COSTA RICA;FATAL
59;Reported 25-Nov-2017;Sea Disaster;LIBYA;FATAL
60;24-Nov-2017;Unprovoked;USA;Right leg bitten
61;18-Nov-2017;Unprovoked;USA;Heel bitten
63;13-Nov-2017;Unprovoked;AUSTRALIA;Puncture wounds to left shoulder
64;04-Nov-2017;Unprovoked;CUBA;FATAL
65;Reported 31-Oct-2017;Unprovoked;AUSTRALIA;Calf injured
66;28-Oct-2017;Unprovoked;AUSTRALIA;Minor injury to foot
67;26-Oct-2017;Unprovoked;USA;No injury but shark bit SUP
68;23-Oct-2017;Unprovoked;MAURITIUS;Minor injury to foot
69;23-Oct-2017;Unprovoked;USA;Lacerations to left foot
70;23-Oct-2017;Unprovoked;USA;Severe lacerations to left hand & wrist
71;22-Oct-2017;Unprovoked;AUSTRALIA;Minor injuries
72;21-Oct-2017;Unprovoked;NEW ZEALAND;No injury, shark shook kayak x3 
73;18-Oct-2017;Unprovoked;USA;Puncture wounds & lacerations to foot
74;09-Oct-2017;Unprovoked;USA;Lacerations to left hand
75;05-Oct-2017;Unprovoked;USA;Abrasions
76;01-Oct-2017;Invalid;SOUTH AFRICA;FATAL
77;25-Sep-2017;Unprovoked;USA;Lacerations to lower left leg and foot
78;25-Sep-2017;Unprovoked;AUSTRALIA;No injury, board damaged by shark
79;24-Sep-2017;Invalid;USA;Lacerations to right ankle, foot & toe
