dateRep,cases,deaths,countriesAndTerritories,popData2020
26/02/2020,1.0,0.0,Austria,8901064
26/05/2021,445.0,0.0,Ireland,4964440
21/12/2021,72832.0,229.0,France,67320216
25/01/2021,6751.0,428.0,Germany,83166711
11/10/2021,2249.0,5.0,Netherlands,17407585
04/04/2021,1955.0,78.0,Greece,10718565
28/08/2021,6858.0,54.0,Italy,59641488
17/07/2021,39.0,1.0,Latvia,1907675
29/12/2020,2430.0,35.0,Slovenia,2095861
10/08/2021,247.0,0.0,Slovenia,2095861
18/05/2021,6.0,0.0,Iceland,364134
30/09/2020,80.0,1.0,Estonia,1328976
08/09/2020,1369.0,10.0,Italy,59641488
02/04/2021,46677.0,332.0,France,67320216
30/06/2021,628.0,2.0,Belgium,11522440
20/05/2020,808.0,52.0,Sweden,10327589
06/03/2021,4064.0,69.0,Romania,19328838
20/10/2021,786.0,3.0,Sweden,10327589
25/10/2021,4287.0,20.0,Czechia,10693939
17/09/2020,1.0,0.0,Liechtenstein,38747
12/04/2021,14.0,0.0,Liechtenstein,38747
15/04/2020,12.0,1.0,Greece,10718565
26/12/2020,3042.0,125.0,Czechia,10693939
29/08/2020,7431.0,53.0,Spain,47332614
03/04/2020,21.0,4.0,Bulgaria,6951482
31/12/2020,13464.0,535.0,Poland,37958138
22/11/2021,202.0,0.0,Iceland,364134
29/05/2021,609.0,0.0,Portugal,10295909
27/03/2021,23771.0,380.0,Italy,59641488
18/04/2020,11.0,2.0,Greece,10718565
11/05/2021,371.0,3.0,Estonia,1328976
25/01/2021,1551.0,65.0,Romania,19328838
05/12/2021,22394.0,45.0,Poland,37958138
17/03/2020,8.0,0.0,Malta,514564
01/03/2021,272.0,3.0,Latvia,1907675
20/01/2021,886.0,35.0,Denmark,5822763
08/08/2021,176.0,1.0,Bulgaria,6951482
25/04/2020,1.0,1.0,Malta,514564
06/04/2021,11510.0,265.0,Germany,83166711
11/06/2021,60.0,1.0,Cyprus,888005
13/08/2021,6.0,0.0,Liechtenstein,38747
27/02/2021,1079.0,49.0,Bulgaria,6951482
22/03/2020,11.0,0.0,Cyprus,888005
22/01/2021,562.0,28.0,Greece,10718565
28/12/2021,4009.0,0.0,Norway,5367580
11/01/2021,5448.0,60.0,Netherlands,17407585
25/06/2020,460.0,10.0,Romania,19328838
09/05/2021,665.0,45.0,Croatia,4058165
04/04/2020,59.0,5.0,Luxembourg,626108
07/08/2021,233.0,1.0,Croatia,4058165
04/03/2020,1.0,0.0,Estonia,1328976
08/11/2021,1123.0,12.0,Finland,5525292
01/03/2021,175.0,1.0,Malta,514564
26/11/2020,6360.0,115.0,Hungary,9769526
11/04/2021,1305.0,22.0,Belgium,11522440
01/09/2020,2.0,1.0,Cyprus,888005
